COUNTY,RECIPIENTS
ADAMS       ,209
ALLEN       ,3170
BARTHOLOMEW ,555
BENTON      ,75
BLACKFORD   ,89
BOONE       ,239
BROWN       ,63
CARROLL     ,108
CASS        ,359
CLARK       ,846
CLAY        ,200
CLINTON     ,300
CRAWFORD    ,76
DAVIESS     ,244
DEARBORN    ,245
DECATUR     ,194
DEKALB      ,295
DELAWARE    ,806
DUBOIS      ,246
ELKHART     ,1983
FAYETTE     ,202
FLOYD       ,459
FOUNTAIN    ,97
FRANKLIN    ,120
FULTON      ,115
GIBSON      ,189
GRANT       ,482
GREENE      ,215
HAMILTON    ,917
HANCOCK     ,306
HARRISON    ,235
HENDRICKS   ,650
HENRY       ,306
HOWARD      ,655
HUNTINGTON  ,262
JACKSON     ,386
JASPER      ,220
JAY         ,151
JEFFERSON   ,242
JENNINGS    ,204
JOHNSON     ,911
KNOX        ,286
KOSCIUSKO   ,543
LAGRANGE    ,166
LAKE        ,3993
LAPORTE     ,926
LAWRENCE    ,329
MADISON     ,979
MARION      ,10502
MARSHALL    ,348
MARTIN      ,73
MIAMI       ,285
MONROE      ,653
MONTGOMERY  ,254
MORGAN      ,425
NEWTON      ,90
NOBLE       ,341
OHIO        ,32
ORANGE      ,150
OWEN        ,141
PARKE       ,95
PERRY       ,125
PIKE        ,56
PORTER      ,808
POSEY       ,118
PULASKI     ,84
PUTNAM      ,215
RANDOLPH    ,204
RIPLEY      ,161
RUSH        ,111
SCOTT       ,191
SHELBY      ,328
SPENCER     ,106
ST. JOSEPH  ,2279
STARKE      ,171
STEUBEN     ,236
SULLIVAN    ,140
SWITZERLAND ,70
TIPPECANOE  ,1287
TIPTON      ,78
UNION       ,54
UNKNOWN,634
VANDERBURGH ,1289
VERMILLION  ,111
VIGO        ,817
WABASH      ,204
WARREN      ,34
WARRICK     ,254
WASHINGTON  ,191
WAYNE       ,525
WELLS       ,175
WHITE       ,178
WHITLEY     ,198
