COUNTY,TOTAL_CLAIMS,TOTAL_COST,TOTAL_CLAIMS_PREBIRTHING_EVENT,TOTAL_COST_PREBIRTHING_EVENT,PREBIRTHING_MEDIAN_COST,TOTAL_CLAIMS_POSTBIRTHING_EVENT,TOTAL_COST_POSTBIRTHING_EVENT,POSTBIRTHING_MEDIAN_COST
ADAMS       ,10890,1847969.85,5664,745369.61,22.39,5226,1102600.24,29.35
ALLEN       ,207198,35781259.5,113686,15977182.66,27.83,93512,19804076.84,29.06
BARTHOLOMEW ,32727,5309004.35,15774,1930049.27,18.99,16953,3378955.08,23.82
BENTON      ,5282,748301.13,2776,329829.27,27.83,2506,418471.86,29.16
BLACKFORD   ,7552,1332423.24,4198,671577.01,31.51,3354,660846.23,22.87
BOONE       ,13532,2346448.09,6752,944488.82,24.29,6780,1401959.27,33.59
BROWN       ,4284,805636.45,2315,341340.12,28.35,1969,464296.33,47.58
CARROLL     ,6374,983031.51,3152,396729.32,26.72,3222,586302.19,28.56
CASS        ,21232,3481525.98,11126,1546462.03,20.45,10106,1935063.95,28.11
CLARK       ,47919,7931994.93,24767,3112674.3,22.89,23152,4819320.63,29.98
CLAY        ,16007,2443351.66,8438,947797.3,22.83,7569,1495554.36,23.05
CLINTON     ,15172,2711867.67,8468,1164595.57,25.88,6704,1547272.1,31.62
CRAWFORD    ,6181,959009.69,3498,498152.08,22.58,2683,460857.61,24.4
DAVIESS     ,15581,2378197.48,8313,1016857.66,26.04,7268,1361339.82,27.6
DEARBORN    ,19439,2908284.44,9963,1367943.18,20,9476,1540341.26,24.11
DECATUR     ,12071,1729854.18,6170,674367.49,22.42,5901,1055486.69,29.15
DEKALB      ,16944,2840951.21,8997,1348689.22,29.98,7947,1492261.99,29.98
DELAWARE    ,68949,10553084.95,37508,5164201.33,29.98,31441,5388883.62,26.14
DUBOIS      ,13247,2160058.28,7128,940352.91,17.72,6119,1219705.37,26.88
ELKHART     ,105353,20049162.8,56812,7555049.43,23.82,48541,12494113.37,32.89
FAYETTE     ,18186,2588186.84,9533,1113850.97,24.94,8653,1474335.87,32.89
FLOYD       ,30336,4674351.78,15735,2012388.98,21.59,14601,2661962.8,29.06
FOUNTAIN    ,6101,919651.48,3228,405852.37,36.2,2873,513799.11,30.41
FRANKLIN    ,6677,958620.28,3647,469164.61,23.28,3030,489455.67,29.43
FULTON      ,7500,1256433.7,4111,481738.02,22.85,3389,774695.68,23.5
GIBSON      ,14904,2596561.3,7668,1110157.9,24.85,7236,1486403.4,26.06
GRANT       ,38531,6517897.5,21077,2673732.76,17.68,17454,3844164.74,20.5
GREENE      ,16513,2899571.42,8722,1285445.39,20.29,7791,1614126.03,27.29
HAMILTON    ,42726,7547618.63,21857,3345817.17,25.81,20869,4201801.46,28.43
HANCOCK     ,21361,3328051.24,10366,1336260.02,23.82,10995,1991791.22,29.06
