COUNTY,TOTAL_PRESCRIPTIONS,TOTAL_PRESCRIPTION_COST,TOTAL_PRESCRIPTIONS_PREBIRTHING_EVENT,PRESCRIPTION_COST_PREBIRTHING_EVENT,PREBIRTHING_MEDIAN_COST,TOTAL_PRESCRIPTIONS_POSTBIRTHING_EVENT,PRESCRIPTION_COST_POSTBIRTHING_EVENT,POSTBIRTHING_MEDIAN_COST
ADAMS       ,7446,536554.06,4081,219493.51,10.99,3365,317060.55,10.26
ALLEN       ,161258,11101173.29,86516,4933216.31,10.26,74742,6167956.98,10.26
BARTHOLOMEW ,22668,1839436.04,9598,584125.31,9.77,13070,1255310.73,11.27
BENTON      ,3402,230180.93,1683,85905.82,10.9,1719,144275.11,10.27
BLACKFORD   ,4069,474993.35,1712,123769.08,11.6,2357,351224.27,11.23
BOONE       ,9420,778506.8,3847,267770.12,10.99,5573,510736.68,12.26
BROWN       ,1961,109551.26,1104,50499.33,9.62,857,59051.93,13.38
CARROLL     ,4551,283038.59,2132,106866.23,9.19,2419,176172.36,10.58
CASS        ,12549,1056898.88,4736,289318.33,12.5,7813,767580.55,12.43
CLARK       ,32017,2668082.71,16071,1171643.71,11.9,15946,1496439,14.46
CLAY        ,12508,903660.47,6359,385185.37,10.99,6149,518475.1,10.82
CLINTON     ,12033,1084095.78,5808,449171.93,11.94,6225,634923.85,10.67
CRAWFORD    ,7536,567372.79,3562,247614.26,11.03,3974,319758.53,21.2
DAVIESS     ,13976,1699736.65,6580,761454.18,16.09,7396,938282.47,17.61
DEARBORN    ,9715,933669.64,4019,314607.9,12.54,5696,619061.74,13.94
DECATUR     ,7066,481340.72,3142,147769.12,10.66,3924,333571.6,14.55
DEKALB      ,16584,2010737.2,7555,891568.26,12.3,9029,1119168.94,14.27
DELAWARE    ,43231,2925018.37,21976,1460371.03,10.99,21255,1464647.34,10.97
DUBOIS      ,21464,4239387.96,14871,3264157.19,19.8,6593,975230.77,16.32
ELKHART     ,58629,6153742.85,27253,1993941.47,11.64,31376,4159801.38,12.56
FAYETTE     ,11126,766295.61,4709,262217.7,10.66,6417,504077.91,12.65
FLOYD       ,20140,1901077.77,9404,725540.72,13.1,10736,1175537.05,14.58
FOUNTAIN    ,5763,307099.81,2556,153235.23,12.58,3207,153864.58,11.5
FRANKLIN    ,3266,173746.3,1542,75572.8,11,1724,98173.5,11.78
FULTON      ,3710,479721.68,1831,134913.6,11,1879,344808.08,11.94
GIBSON      ,17142,2053693.18,6554,563279.65,14.16,10588,1490413.53,20.72
GRANT       ,26969,2103722.31,16046,1026962.22,10.58,10923,1076760.09,11.19
GREENE      ,11011,978537.24,5106,404153.94,10.58,5905,574383.3,12.65
HAMILTON    ,25658,2319957.77,10798,735711.63,12.32,14860,1584246.14,12.81
HANCOCK     ,13857,1048989.25,6845,503014.87,11.56,7012,545974.38,15.5
HARRISON    ,14024,785913.41,7652,337712.38,10.92,6372,448201.03,11.63
HENDRICKS   ,19845,1614128.74,9688,698979.69,11.24,10157,915149.05,12.83
HENRY       ,20302,1913402.45,10365,760036.5,10.58,9937,1153365.95,10.54
HOWARD      ,32248,2598477.66,14997,1012793.89,10.65,17251,1585683.77,13.32
HUNTINGTON  ,15391,1168284.36,8579,506549.54,10.26,6812,661734.82,10.26
JACKSON     ,12581,1203016.02,5345,309122.81,11.31,7236,893893.21,12.51
JASPER      ,10365,925358.76,4425,265968.37,13.77,5940,659390.39,13.74
JAY         ,6030,476370.93,3148,257813.56,13.86,2882,218557.37,10.17
JEFFERSON   ,14256,887590.97,8369,317339.36,12.62,5887,570251.61,13.04
JENNINGS    ,9854,685256.67,4592,268860.93,10.68,5262,416395.74,11.84
JOHNSON     ,32617,2156980.83,16747,853982.39,11.02,15870,1302998.44,12.72
KNOX        ,32642,3127652.35,14529,1068500.15,10.26,18113,2059152.2,13.07
KOSCIUSKO   ,17332,1171082.37,8872,478630.79,11.08,8460,692451.58,10.58
LAGRANGE    ,6620,553803.75,2938,151308.48,10.42,3682,402495.27,12.65
LAKE        ,214907,14567694.25,119238,6129813.47,10.58,95669,8437880.78,11.8
LAPORTE     ,58124,4155870.25,29897,1521262.37,10.95,28227,2634607.88,11.71
LAWRENCE    ,20554,1374699.71,11729,677593.52,9.62,8825,697106.19,13.67
MADISON     ,54754,3957933.21,27625,1689137.24,10.58,27129,2268795.97,13.29
MARION      ,446136,37896167.92,236319,15050571.82,10.69,209817,22845596.1,12.88
MARSHALL    ,10633,777175.11,5247,279644.98,10.58,5386,497530.13,11.76
MARTIN      ,5772,548028.28,3411,307718.52,9.15,2361,240309.76,13.85
MIAMI       ,16111,1197940.26,7662,494992.97,10.26,8449,702947.29,11.56
MONROE      ,28197,2159599.13,12926,870595.85,10.99,15271,1289003.28,12.91
MONTGOMERY  ,14172,1031827.09,6429,434483.37,13.18,7743,597343.72,10.66
MORGAN      ,18783,1292252.69,8764,450728.06,11.77,10019,841524.63,13.3
NEWTON      ,5298,441490.55,2592,227398.5,10.7,2706,214092.05,10.26
NOBLE       ,19359,3208572.24,8492,557779.02,10.58,10867,2650793.22,17.59
OHIO        ,626,33062.85,269,13427.27,10,357,19635.58,11.79
ORANGE      ,9606,738622.94,4890,345375,10.99,4716,393247.94,11.84
OWEN        ,7367,397556.74,3730,183748.23,10.58,3637,213808.51,13.77
PARKE       ,5778,395379.67,2682,137941.14,10.22,3096,257438.53,10.64
PERRY       ,7108,722475.73,3365,286866.25,13.74,3743,435609.48,15.2
PIKE        ,3805,170186.42,2286,78162.53,9.22,1519,92023.89,11.44
PORTER      ,32503,2118943.85,16129,931473.93,11.56,16374,1187469.92,11.28
POSEY       ,12698,1087456.59,4748,427400.37,17.16,7950,660056.22,15.39
PULASKI     ,4254,383253.78,1791,107893.68,11.57,2463,275360.1,17.62
PUTNAM      ,9871,611938.06,5123,278125.65,10.59,4748,333812.41,10.81
RANDOLPH    ,10717,843355.09,6186,340306.35,10.66,4531,503048.74,10.69
RIPLEY      ,6109,315399.54,2598,105419.96,13.42,3511,209979.58,12.99
RUSH        ,4480,386646.83,2308,226099.38,14.6,2172,160547.45,12.73
SCOTT       ,8836,596823.53,3994,220802.63,10.83,4842,376020.9,12.74
SHELBY      ,12943,1017729.93,5781,393522.11,11.81,7162,624207.82,13.31
SPENCER     ,5388,457961.78,2042,217892.57,11.02,3346,240069.21,12.29
