COUNTY,RECIPIENTS
ADAMS       ,212
ALLEN       ,3227
BARTHOLOMEW ,566
BENTON      ,76
BLACKFORD   ,89
BOONE       ,250
BROWN       ,68
CARROLL     ,108
CASS        ,363
CLARK       ,862
CLAY        ,204
CLINTON     ,306
CRAWFORD    ,77
DAVIESS     ,248
DEARBORN    ,255
DECATUR     ,197
DEKALB      ,300
DELAWARE    ,826
DUBOIS      ,255
ELKHART     ,2017
FAYETTE     ,206
FLOYD       ,470
FOUNTAIN    ,97
FRANKLIN    ,122
FULTON      ,119
GIBSON      ,192
GRANT       ,498
GREENE      ,227
HAMILTON    ,947
HANCOCK     ,314
HARRISON    ,245
HENDRICKS   ,667
HENRY       ,313
HOWARD      ,676
HUNTINGTON  ,264
IFSSA       ,658
JACKSON     ,391
JASPER      ,221
JAY         ,152
JEFFERSON   ,246
JENNINGS    ,209
JOHNSON     ,931
KNOX        ,291
KOSCIUSKO   ,554
LAGRANGE    ,170
LAKE        ,4091
LAPORTE     ,946
LAWRENCE    ,337
MADISON     ,993
MARION      ,10776
MARSHALL    ,357
MARTIN      ,75
MIAMI       ,292
MONROE      ,664
MONTGOMERY  ,259
MORGAN      ,436
NEWTON      ,91
NOBLE       ,343
OHIO        ,32
ORANGE      ,152
OWEN        ,142
PARKE       ,96
PERRY       ,127
PIKE        ,59
PORTER      ,834
POSEY       ,120
PULASKI     ,88
PUTNAM      ,223
RANDOLPH    ,207
RIPLEY      ,165
RUSH        ,112
SCOTT       ,192
SHELBY      ,340
SPENCER     ,110
ST. JOSEPH  ,2330
STARKE      ,174
STEUBEN     ,242
SULLIVAN    ,146
SWITZERLAND ,72
TIPPECANOE  ,1313
TIPTON      ,80
UNION       ,55
VANDERBURGH ,1322
VERMILLION  ,112
VIGO        ,831
WABASH      ,206
WARREN      ,34
WARRICK     ,257
WASHINGTON  ,193
WAYNE       ,534
WELLS       ,179
WHITE       ,182
WHITLEY     ,203
