COUNTY,TOTAL_PRESCRIPTIONS,TOTAL_PRESCRIPTION_COST,PRESCRIPTION_MEDIAN_COST
ADAMS       ,2688,266468.69,13.63
ALLEN       ,77304,3200786.56,9.64
BARTHOLOMEW ,11927,466533.07,10.4
BENTON      ,3157,121922.69,10.65
BLACKFORD   ,1894,85060.49,9.6
BOONE       ,5413,461137.18,13.54
BROWN       ,1321,102663.62,10.4
CARROLL     ,2436,82953.16,13.3
CASS        ,4353,374749.93,11.94
CLARK       ,15530,833752.02,12.64
CLAY        ,3905,223055.52,14.34
CLINTON     ,7145,413097.17,13.45
CRAWFORD    ,1278,74800.55,11.98
DAVIESS     ,8464,1555835.18,17.62
DEARBORN    ,3389,182235.68,14.34
DECATUR     ,5020,280515.58,8.29
DEKALB      ,9168,748825.56,15.94
DELAWARE    ,19178,893806.05,13.59
DUBOIS      ,24284,19922741.81,46.29
ELKHART     ,22379,1320720.56,11.19
FAYETTE     ,4094,205748.78,16
FLOYD       ,8368,680849.69,14.95
FOUNTAIN    ,2500,88399.34,13.6
FRANKLIN    ,2686,89960.79,12.54
FULTON      ,986,54594.61,13.73
GIBSON      ,8643,3505869.37,28.15
GRANT       ,12925,1198458.35,10.22
GREENE      ,5668,498565.52,14.96
HAMILTON    ,14399,1190435.6,12.8
HANCOCK     ,4546,314752.83,16
HARRISON    ,3368,220647.82,13.64
HENDRICKS   ,10066,484373.13,12.8
HENRY       ,4659,224219.57,15.68
HOWARD      ,12202,417459.91,8.22
HUNTINGTON  ,10111,336414.9,8.06
JACKSON     ,4691,177670.17,10.72
JASPER      ,3483,107333.97,10.13
JAY         ,2678,172353.68,13
JEFFERSON   ,5144,820050.96,14.57
JENNINGS    ,6568,261922.89,9.99
JOHNSON     ,13837,707958.52,11.35
KNOX        ,8913,2165879.98,17.73
KOSCIUSKO   ,8620,459179.37,12.8
LAGRANGE    ,2843,144975.05,14.67
LAKE        ,67486,2839107.44,9.36
LAPORTE     ,18951,743094.34,13.9
LAWRENCE    ,5750,522403.7,12.55
MADISON     ,16959,745234.41,10.96
MARION      ,200939,12495896.28,9.26
MARSHALL    ,4485,227796.24,13.98
MARTIN      ,1565,233927.68,17.61
MIAMI       ,3759,153570.79,9.9
MONROE      ,8734,395099.33,11.19
MONTGOMERY  ,6319,294688.59,12.8
MORGAN      ,5644,493063.67,15.62
NEWTON      ,1393,102909.07,9.74
NOBLE       ,5038,179746.67,10.82
OHIO        ,424,15346.63,11.76
ORANGE      ,13506,15862967.02,88.96
OWEN        ,1869,55838.56,10.6
PARKE       ,2426,84106.76,13.02
PERRY       ,1538,85535.78,16
PIKE        ,3530,1542729.11,35.85
PORTER      ,10843,528944.66,12.24
POSEY       ,3897,298158.77,16
PULASKI     ,1009,44511.57,13.62
PUTNAM      ,3471,151100.13,11
RANDOLPH    ,3597,269201.29,10.62
RIPLEY      ,4088,142349.75,12.8
RUSH        ,2327,90402.6,13.45
SCOTT       ,3981,154407.17,15.23
SHELBY      ,9339,353662.98,11.13
SPENCER     ,2083,86353.36,13.98
ST. JOSEPH  ,26951,1492148.83,11.13
STARKE      ,2275,282027.19,14.18
STEUBEN     ,4381,200118.68,13.19
SULLIVAN    ,3891,180365.44,13.67
SWITZERLAND ,759,60771.43,16
TIPPECANOE  ,39853,1462862.34,10
TIPTON      ,1108,44096.24,9.48
UNION       ,878,27982.27,12.9
UNKNOWN,6635,349179.01,11.89
VANDERBURGH ,54225,32101735.55,34.89
VERMILLION  ,3285,140205.55,14.42
VIGO        ,21154,885555.04,13.64
WABASH      ,5833,273965.83,9.51
WARREN      ,1106,35742.46,8
WARRICK     ,19366,10419118.34,37.7
WASHINGTON  ,3485,159680.84,15.15
WAYNE       ,12123,456513.54,11.13
WELLS       ,2133,117016.31,10.72
WHITE       ,3569,131441.23,11.05
WHITLEY     ,6014,225757.97,12.8
