COUNTY,RECIPIENTS
ADAMS       ,25
ALLEN       ,402
BARTHOLOMEW ,57
CASS        ,39
CLARK       ,79
CLAY        ,24
CLINTON     ,24
DAVIESS     ,21
DEARBORN    ,25
DECATUR     ,22
DEKALB      ,27
DELAWARE    ,170
DUBOIS      ,24
ELKHART     ,305
FAYETTE     ,38
FLOYD       ,45
FRANKLIN    ,21
GIBSON      ,33
GRANT       ,50
HAMILTON    ,100
HANCOCK     ,46
HARRISON    ,47
HENDRICKS   ,57
HENRY       ,39
HOWARD      ,93
HUNTINGTON  ,33
JACKSON     ,78
JASPER      ,21
JAY         ,23
JEFFERSON   ,40
JENNINGS    ,36
JOHNSON     ,135
KNOX        ,43
KOSCIUSKO   ,78
LAKE        ,392
LAPORTE     ,114
LAWRENCE    ,47
MADISON     ,199
MARION      ,1680
MARSHALL    ,28
MIAMI       ,45
MONROE      ,80
MONTGOMERY  ,21
MORGAN      ,69
NOBLE       ,33
ORANGE      ,24
PORTER      ,99
PUTNAM      ,24
RANDOLPH    ,31
RIPLEY      ,24
SCOTT       ,25
SHELBY      ,63
ST. JOSEPH  ,381
STEUBEN     ,28
TIPPECANOE  ,103
VANDERBURGH ,233
VIGO        ,77
WARRICK     ,40
WASHINGTON  ,26
WAYNE       ,92
WHITE       ,23
