COUNTY,TOTAL_CLAIMS,TOTAL_COST,TOTAL_CLAIMS_PREBIRTHING_EVENT,TOTAL_COST_PREBIRTHING_EVENT,PREBIRTHING_MEDIAN_COST,TOTAL_CLAIMS_POSTBIRTHING_EVENT,TOTAL_COST_POSTBIRTHING_EVENT,POSTBIRTHING_MEDIAN_COST
ADAMS       ,1937,307900.05,1084,113798.17,22.39,853,194101.88,29.37
ALLEN       ,48967,8109850.82,28368,4184995.28,27.29,20599,3924855.54,26.04
BARTHOLOMEW ,6536,1031305.71,3724,420880.14,19.79,2812,610425.57,24.08
CASS        ,4456,627843.19,2395,299870.13,19.12,2061,327973.06,20.22
CLARK       ,8320,1534688.57,4800,714198.8,23.71,3520,820489.77,29.85
CLAY        ,3877,597051.49,2065,240453.39,21.34,1812,356598.1,19.22
CLINTON     ,3663,512201.45,2357,266512.95,20,1306,245688.5,27.43
DAVIESS     ,3317,431672.98,1970,194893.01,22.87,1347,236779.97,24.86
DEARBORN    ,3382,498568.7,2063,309989.17,22.15,1319,188579.53,21.86
DECATUR     ,1809,268711.47,1108,128277.83,25.27,701,140433.64,31.79
DEKALB      ,3043,624029.01,1872,416093.12,31.51,1171,207935.89,28.62
DELAWARE    ,22632,3421387.93,12920,1758908.16,28.39,9712,1662479.77,24.22
DUBOIS      ,3400,537104.77,1748,213678.28,17.66,1652,323426.49,20.51
ELKHART     ,31407,5152333.37,16933,2046299.76,25.88,14474,3106033.61,32.52
FAYETTE     ,5542,718476.31,2983,343217.06,27.86,2559,375259.25,29.18
FLOYD       ,6625,1030424.03,3503,470367.19,22.87,3122,560056.84,25.48
FRANKLIN    ,2522,412122.42,1485,240162.82,26.4,1037,171959.6,28.92
GIBSON      ,5295,972372.05,2930,444086.09,21.54,2365,528285.96,25
GRANT       ,7736,1271678.44,4877,722407.3,15.83,2859,549271.14,17.14
HAMILTON    ,11495,1887903.38,6004,916531.6,26.11,5491,971371.78,20.75
HANCOCK     ,6466,1181728.18,3739,519619.26,24.04,2727,662108.92,29.15
HARRISON    ,5682,976838.16,3160,539287.26,28.43,2522,437550.9,20.42
HENDRICKS   ,6235,1166277.09,4063,584648.99,27.74,2172,581628.1,30.9
HENRY       ,5538,1008964.24,3133,567583.32,23.82,2405,441380.92,19.75
HOWARD      ,13367,2585783.82,7318,1388554.86,27.99,6049,1197228.96,29.21
HUNTINGTON  ,4785,805829.71,2776,347856.2,25.21,2009,457973.51,28.87
JACKSON     ,7093,1398224.67,3642,518267.19,26.5,3451,879957.48,31.27
JASPER      ,2353,334736.16,1394,162615.18,28.61,959,172120.98,28.98
JAY         ,3825,482343.88,2412,284727.56,27.48,1413,197616.32,22.01
JEFFERSON   ,5608,999277.33,3076,491979.8,21.39,2532,507297.53,21.99
JENNINGS    ,4566,699178.94,2617,405558.47,28.61,1949,293620.47,29.98
JOHNSON     ,16581,2557654.03,8954,1054556.27,26.16,7627,1503097.76,31
KNOX        ,7267,989648.04,3863,483546.37,19.58,3404,506101.67,21.27
KOSCIUSKO   ,6785,951082.06,4054,466024.68,26.04,2731,485057.38,26.62
LAKE        ,51482,8610245.27,31052,4443013.5,22.83,20430,4167231.77,25.04
LAPORTE     ,13252,2266200.63,7221,979542.76,25.81,6031,1286657.87,25.16
LAWRENCE    ,6556,1220763.34,3712,585064.86,26.08,2844,635698.48,30.9
MADISON     ,22430,3358637.91,13307,1677738.01,21.63,9123,1680899.9,28.24
MARION      ,186556,31667984.8,106395,15990430.25,23.73,80161,15677554.55,25.74
MARSHALL    ,3581,625398.02,2156,304472.46,18.99,1425,320925.56,24.22
MIAMI       ,7067,1246332.85,4117,687759.57,24.67,2950,558573.28,26.93
MONROE      ,12619,2005968.98,6689,886381.12,22.33,5930,1119587.86,29.06
MONTGOMERY  ,2847,363649.23,1888,185019.2,26.04,959,178630.03,26.14
MORGAN      ,8686,1368721.22,4586,621625.88,22.68,4100,747095.34,28.26
NOBLE       ,4843,764290.41,2698,323957.9,27.1,2145,440332.51,28.05
ORANGE      ,4041,624799.75,2155,256326.52,24.36,1886,368473.23,30.9
PORTER      ,10411,1579297.47,5850,707750.15,22.93,4561,871547.32,27.51
PUTNAM      ,3867,590195.87,1837,311243.25,27.29,2030,278952.62,18.23
RANDOLPH    ,3762,780601.73,2267,407842.45,31.51,1495,372759.28,27.58
RIPLEY      ,2902,375018.11,1473,157041.93,24.87,1429,217976.18,23.55
SCOTT       ,2101,288319.25,1195,113958.41,19.44,906,174360.84,29.88
SHELBY      ,6139,1152849.52,3501,540902.23,20,2638,611947.29,28.84
ST. JOSEPH  ,42612,7153664.59,25319,3722077.43,23.82,17293,3431587.16,26
STEUBEN     ,3028,475602.65,1776,189135.5,23.82,1252,286467.15,35.22
TIPPECANOE  ,11385,1749676.71,6668,860792.92,25.88,4717,888883.79,28.03
VANDERBURGH ,37111,5707307.91,20707,2807875.38,22.18,16404,2899432.53,20.75
VIGO        ,11478,1490513.89,6561,751698.67,21.92,4917,738815.22,19.33
WARRICK     ,5262,749443.28,2989,376148.47,22.15,2273,373294.81,24.11
WASHINGTON  ,3501,474980.07,1767,186411.04,18.16,1734,288569.03,22.87
WAYNE       ,11041,1655193.72,6170,748027,18.2,4871,907166.72,25.81
WHITE       ,1536,300817.28,963,148849.06,23.82,573,151968.22,36.28
