COUNTY,RECIPIENTS
ADAMS       ,27
ALLEN       ,600
BARTHOLOMEW ,90
BOONE       ,31
CARROLL     ,21
CASS        ,82
CLARK       ,152
CLAY        ,51
CLINTON     ,52
DAVIESS     ,50
DEARBORN    ,51
DECATUR     ,24
DEKALB      ,39
DELAWARE    ,166
DUBOIS      ,45
ELKHART     ,367
FAYETTE     ,43
FLOYD       ,81
GIBSON      ,41
GRANT       ,94
GREENE      ,42
HAMILTON    ,118
HANCOCK     ,56
HARRISON    ,35
HENDRICKS   ,101
HENRY       ,66
HOWARD      ,128
HUNTINGTON  ,53
JACKSON     ,73
JASPER      ,40
JAY         ,35
JEFFERSON   ,49
JENNINGS    ,35
JOHNSON     ,156
KNOX        ,54
KOSCIUSKO   ,80
LAGRANGE    ,24
LAKE        ,747
LAPORTE     ,183
LAWRENCE    ,80
MADISON     ,238
MARION      ,1914
MARSHALL    ,70
MIAMI       ,57
MONROE      ,131
MONTGOMERY  ,48
MORGAN      ,73
NOBLE       ,56
ORANGE      ,42
OWEN        ,32
PORTER      ,142
PULASKI     ,21
PUTNAM      ,28
RANDOLPH    ,47
RIPLEY      ,36
RUSH        ,25
SCOTT       ,46
SHELBY      ,60
ST. JOSEPH  ,452
STARKE      ,32
STEUBEN     ,35
SULLIVAN    ,31
TIPPECANOE  ,192
VANDERBURGH ,273
VIGO        ,173
WABASH      ,33
WARRICK     ,44
WASHINGTON  ,30
WAYNE       ,97
WELLS       ,35
WHITE       ,31
WHITLEY     ,31
