COUNTY,TOTAL_CLAIMS,TOTAL_COST,TOTAL_CLAIMS_PREBIRTHING_EVENT,TOTAL_COST_PREBIRTHING_EVENT,PREBIRTHING_MEDIAN_COST,TOTAL_CLAIMS_POSTBIRTHING_EVENT,TOTAL_COST_POSTBIRTHING_EVENT,POSTBIRTHING_MEDIAN_COST
ADAMS       ,2246,293714.83,1257,132147.15,18.9,989,161567.68,19.49
ALLEN       ,70343,11853313.27,41390,6247742.45,27.55,28953,5605570.82,27.2
BARTHOLOMEW ,9731,1554710.38,5561,690083.72,20.39,4170,864626.66,27.01
BOONE       ,3785,598244.66,1886,204291.09,22,1899,393953.57,34.95
CARROLL     ,2126,312264.67,1239,142204.79,25.62,887,170059.88,31.16
CASS        ,9017,1376931.68,4884,649889.05,20,4133,727042.63,25.81
CLARK       ,14579,2508363.89,8279,1118534.38,24.91,6300,1389829.51,30.4
CLAY        ,7451,1126828.23,4123,476443.14,20.4,3328,650385.09,19.67
CLINTON     ,6001,970005.76,3752,481586.84,22.87,2249,488418.92,31.2
DAVIESS     ,5877,856486.64,3360,370678.43,26.04,2517,485808.21,29.98
DEARBORN    ,8343,1469624.78,4728,706665.53,22.83,3615,762959.25,20.62
DECATUR     ,2675,345015.55,1441,143514.2,21.43,1234,201501.35,22.25
DEKALB      ,5486,963965.49,3072,563838.23,29.98,2414,400127.26,27.35
DELAWARE    ,25347,3878780.66,14502,1967101.74,28.82,10845,1911678.92,27.21
DUBOIS      ,5018,754476.32,2754,339291.86,19.35,2264,415184.46,25.76
ELKHART     ,36357,6619952.77,20666,2745616.3,26,15691,3874336.47,32.89
FAYETTE     ,6948,1024962.34,3760,449246.63,29.71,3188,575715.71,37.08
FLOYD       ,10762,1635555.99,5818,750039.44,23.3,4944,885516.55,28.62
GIBSON      ,6510,1159078.84,3401,529166.35,24.86,3109,629912.49,28.43
GRANT       ,12706,1971641.11,7691,903399.94,17.62,5015,1068241.17,20.16
GREENE      ,4963,788420.97,2821,427185.4,19.58,2142,361235.57,20.13
HAMILTON    ,15015,2480641.57,8096,1121329.6,26.71,6919,1359311.97,27.78
HANCOCK     ,9498,1365112.75,5041,635055.61,24.4,4457,730057.14,29.43
HARRISON    ,4957,848581.06,2905,439978.04,23.78,2052,408603.02,19.96
HENDRICKS   ,10204,1784310.05,6251,970026.01,25.52,3953,814284.04,29.35
HENRY       ,10585,1717003.26,6204,991080.2,24.64,4381,725923.06,23.95
HOWARD      ,17883,3083885.06,10009,1602882.51,27.83,7874,1481002.55,29.71
HUNTINGTON  ,7023,1273711.63,4160,592647.96,28.12,2863,681063.67,27.72
JACKSON     ,8669,1499994.16,4747,629572.25,28.1,3922,870421.91,26.14
JASPER      ,4824,710745.53,2730,317110.87,28.35,2094,393634.66,31.89
JAY         ,4687,620749.42,2968,309967.6,31.21,1719,310781.82,23.15
JEFFERSON   ,6698,1114355.73,3720,559799.56,22.25,2978,554556.17,24.32
JENNINGS    ,3312,540339.64,1951,286904.88,28.43,1361,253434.76,31.07
JOHNSON     ,18922,2899770.18,10346,1288577.63,23.82,8576,1611192.55,29.15
KNOX        ,8446,1425060.8,4482,642317.88,20,3964,782742.92,20.51
KOSCIUSKO   ,8001,1093169.85,4914,540150.09,27.29,3087,553019.76,23.05
LAGRANGE    ,3806,525591.32,2008,216035.03,26.48,1798,309556.29,31.63
LAKE        ,91313,16157201.24,54690,8160969.72,23.75,36623,7996231.52,28.35
LAPORTE     ,23114,3461985.77,12952,1584084.67,26.38,10162,1877901.1,23.78
LAWRENCE    ,11248,1815544.22,6108,933202.89,24.04,5140,882341.33,28.1
MADISON     ,30638,4723001.55,17483,2422267.27,22.5,13155,2300734.28,27.79
MARION      ,215054,35938856.76,125591,18422942.81,23.86,89463,17515913.95,25.74
MARSHALL    ,6879,1017459.53,4210,463154.24,20.02,2669,554305.29,26.66
MIAMI       ,8219,1386249.54,5071,758105.31,24.34,3148,628144.23,28.43
MONROE      ,21775,3335884.65,11518,1500559.01,22.87,10257,1835325.64,27.99
MONTGOMERY  ,5892,950063.51,3387,416222.34,25.52,2505,533841.17,29.16
MORGAN      ,10117,1509648.99,5461,672128.67,22.18,4656,837520.32,29.06
NOBLE       ,6796,1021800.31,4061,524399.26,31.4,2735,497401.05,30.96
ORANGE      ,6758,1124836.9,3510,427409.19,22.18,3248,697427.71,28.84
OWEN        ,4243,601688.2,2156,304311.36,27.83,2087,297376.84,24.46
PORTER      ,15895,2425175.91,8868,1012664.15,24.18,7027,1412511.76,28.72
PULASKI     ,3748,526349.96,2049,257437.26,22.64,1699,268912.7,35.62
PUTNAM      ,3046,541455.65,1690,332478.05,27.85,1356,208977.6,23.78
RANDOLPH    ,6795,1252670.58,4168,723868.7,27.43,2627,528801.88,27.71
RIPLEY      ,3964,565411.77,2206,240994.3,23.37,1758,324417.47,28.84
RUSH        ,4013,522073.33,2286,249714.64,25.19,1727,272358.69,39.58
SCOTT       ,5676,747377.88,2851,289810.53,26.48,2825,457567.35,26.88
SHELBY      ,7166,1116740.85,3903,492151.5,19.81,3263,624589.35,26
ST. JOSEPH  ,52600,8591763.65,31797,4525177.9,25.47,20803,4066585.75,27.66
STARKE      ,3752,538892.5,2060,267635.16,20,1692,271257.34,17.6
STEUBEN     ,4096,654368.76,2449,285331.35,28.03,1647,369037.41,29.98
SULLIVAN    ,4087,635269.1,2410,315970.87,23.8,1677,319298.23,29.98
TIPPECANOE  ,21055,3875472.54,12184,1871248.17,30.9,8871,2004224.37,29.15
VANDERBURGH ,44802,7062407.76,25904,3537756.85,23.05,18898,3524650.91,22.26
VIGO        ,22469,3460343.15,12853,1655202.58,23.8,9616,1805140.57,22.3
WABASH      ,3777,669709.82,2296,345274.81,27.83,1481,324435.01,27.83
WARRICK     ,5106,770478.59,2965,395821.62,26.71,2141,374656.97,23.2
WASHINGTON  ,4606,737476.1,2669,320513.36,18.84,1937,416962.74,31.25
WAYNE       ,11505,2105572.14,6613,1210133.65,23.5,4892,895438.49,27.21
WELLS       ,4047,544112.15,2505,288246.98,20.4,1542,255865.17,30.82
WHITE       ,3000,512290.68,1603,226833.77,23.82,1397,285456.91,25.52
WHITLEY     ,4499,639336.83,2533,256090.93,25.29,1966,383245.9,38.5
