COUNTY,TOTAL_PRESCRIPTIONS,TOTAL_PRESCRIPTION_COST,TOTAL_PRESCRIPTIONS_PREBIRTHING_EVENT,PRESCRIPTION_COST_PREBIRTHING_EVENT,PREBIRTHING_MEDIAN_COST,TOTAL_PRESCRIPTIONS_POSTBIRTHING_EVENT,PRESCRIPTION_COST_POSTBIRTHING_EVENT,POSTBIRTHING_MEDIAN_COST
ADAMS       ,1253,84725.41,548,32073.89,12,705,52651.52,9.52
ALLEN       ,59876,4098167.46,34825,2219738.4,10.84,25051,1878429.06,10.26
BARTHOLOMEW ,6169,570431.4,3180,267160.41,10.58,2989,303270.99,11.05
BOONE       ,2965,202939.38,1567,71099.82,9.86,1398,131839.56,11.33
CARROLL     ,1750,89178.51,1188,45409.79,8.91,562,43768.72,9.4
CASS        ,4880,341731.24,2274,123568.72,14.32,2606,218162.52,12.65
CLARK       ,9923,746385.44,5534,362699.5,14.2,4389,383685.94,13.63
CLAY        ,6069,474801.53,3057,170924.8,10.26,3012,303876.73,11.02
CLINTON     ,4373,429898.11,2522,163776.36,10.69,1851,266121.75,10.58
DAVIESS     ,4545,469137.93,1999,176633.45,12.03,2546,292504.48,16.71
DEARBORN    ,4586,597525.69,2026,184999.64,14.1,2560,412526.05,13.92
DECATUR     ,1965,120867.54,800,38333.05,10.58,1165,82534.49,15.46
DEKALB      ,6074,719895.84,3473,482789.25,18.66,2601,237106.59,15.25
DELAWARE    ,17772,1175601.62,9424,547762.43,10.66,8348,627839.19,11.25
DUBOIS      ,6112,898319.44,2814,243021.42,10.66,3298,655298.02,21.81
ELKHART     ,20715,1757693.28,11136,836705.68,11.19,9579,920987.6,10.9
FAYETTE     ,4381,309347.01,2074,120872.61,11.31,2307,188474.4,15.39
FLOYD       ,7489,765298.26,3549,289574.96,14.06,3940,475723.3,15
GIBSON      ,7821,994343.52,2987,261319.98,13.74,4834,733023.54,21.35
GRANT       ,9289,819699.83,6044,431385.8,13.48,3245,388314.03,10.72
GREENE      ,3020,348166.6,1527,210311.45,10.22,1493,137855.15,9.58
HAMILTON    ,10254,1023923.24,4813,392936.6,12.39,5441,630986.64,12.82
HANCOCK     ,6089,462675.88,3041,209046.43,12.64,3048,253629.45,17.85
HARRISON    ,5306,307455.99,3328,149679.44,10.88,1978,157776.55,12.08
HENDRICKS   ,6828,661199.51,4036,286024.16,10.58,2792,375175.35,12.52
HENRY       ,9398,1023632.94,5474,501242.03,10.26,3924,522390.91,10.94
HOWARD      ,12712,988161.65,6655,410750.54,10.99,6057,577411.11,15.13
HUNTINGTON  ,5635,581851.35,3407,205537.88,10.58,2228,376313.47,12.64
JACKSON     ,5789,563788.8,2620,146571.27,12.42,3169,417217.53,12.25
JASPER      ,3868,263273.61,1513,76532.83,10.58,2355,186740.78,14.62
JAY         ,2346,162282,1319,74687.52,11.74,1027,87594.48,9.87
JEFFERSON   ,7662,377066.65,5792,189287.18,12.62,1870,187779.47,13.28
JENNINGS    ,1914,104373.45,1247,70291.79,12.99,667,34081.66,13.6
JOHNSON     ,10285,744446.34,5408,303138.29,13.74,4877,441308.05,12.65
KNOX        ,13860,1212369.12,6889,490718.28,9.51,6971,721650.84,12.18
KOSCIUSKO   ,5230,285818.2,2993,158256.05,11.38,2237,127562.15,10.49
LAGRANGE    ,2787,287178.93,1259,81545.19,10.06,1528,205633.74,11.42
LAKE        ,92820,6212887.86,56469,2995829.51,10.43,36351,3217058.35,12.36
LAPORTE     ,23009,1798512.52,11865,580712,11.15,11144,1217800.52,12.06
LAWRENCE    ,10917,600165.6,7583,357839.68,8.81,3334,242325.92,12.76
MADISON     ,22311,1672729.32,12415,865407.63,10.58,9896,807321.69,12.74
MARION      ,167689,12975817.84,99762,5718860.5,10.26,67927,7256957.34,12.97
MARSHALL    ,3824,210265.5,2213,95640.15,10.38,1611,114625.35,13.71
MIAMI       ,7374,584831.93,4189,291127.93,9.5,3185,293704,10.26
MONROE      ,13503,1052731.22,6715,459720.97,11.2,6788,593010.25,12.8
MONTGOMERY  ,5380,448058.51,3194,247327.31,14.09,2186,200731.2,10.72
MORGAN      ,6311,428036.6,3051,133550.35,11.99,3260,294486.25,16.88
NOBLE       ,5578,335261.6,3389,205075.02,10.58,2189,130186.58,9.69
ORANGE      ,4700,332407.15,2330,137692.63,11,2370,194714.52,13.32
OWEN        ,2624,153860.58,1291,73212.68,11,1333,80647.9,14.12
PORTER      ,10831,630139.11,5496,297802.41,11.73,5335,332336.7,12.07
PULASKI     ,2596,238269.57,1234,78311.26,11.68,1362,159958.31,20.68
PUTNAM      ,2344,211306.81,1235,88147.73,10.58,1109,123159.08,11.76
RANDOLPH    ,5725,499223.72,3678,232968.83,10.66,2047,266254.89,13.74
RIPLEY      ,1815,102026.72,844,34169.04,13.44,971,67857.68,12.88
RUSH        ,1982,166074.54,1147,108191.73,14.16,835,57882.81,12.89
SCOTT       ,3600,254332.33,1883,78052.36,10.09,1717,176279.97,12.41
SHELBY      ,5018,445254.07,2188,172670.97,14.39,2830,272583.1,17.19
ST. JOSEPH  ,28918,2407700.72,16982,1298653.28,11.4,11936,1109047.44,10.66
STARKE      ,4653,179811.03,3360,110619.22,8.49,1293,69191.81,9.19
STEUBEN     ,4025,515469.62,1638,100402.81,10.66,2387,415066.81,11.63
SULLIVAN    ,4502,465579.78,1698,92994.77,10.68,2804,372585.01,11.57
TIPPECANOE  ,16985,1353906.52,8496,490860.57,11.36,8489,863045.95,11.85
VANDERBURGH ,61619,6303429.66,35242,3494115.51,16.64,26377,2809314.15,16.98
VIGO        ,20836,1507224.55,11670,567537.01,8.72,9166,939687.54,12.31
WABASH      ,2614,226544.09,1639,99124.12,11.57,975,127419.97,10.67
WARRICK     ,5736,663305.77,3927,491512.96,20.24,1809,171792.81,12.76
WASHINGTON  ,3554,287440.72,2211,143202.1,11.46,1343,144238.62,14.05
WAYNE       ,7527,1130264.51,3606,714412.37,10.26,3921,415852.14,13.69
WELLS       ,2397,139107.15,1492,73997.47,9.25,905,65109.68,11.29
WHITE       ,2054,152084.84,762,46104.56,12.31,1292,105980.28,10.66
WHITLEY     ,3461,206824.78,1705,116644.39,10.69,1756,90180.39,9.29
