COUNTY,TOTAL_CLAIMS,TOTAL_COST,TOTAL_CLAIMS_PREBIRTHING_EVENT,TOTAL_COST_PREBIRTHING_EVENT,PREBIRTHING_MEDIAN_COST,TOTAL_CLAIMS_POSTBIRTHING_EVENT,TOTAL_COST_POSTBIRTHING_EVENT,POSTBIRTHING_MEDIAN_COST
ADAMS       ,5588,868537.14,3156,447130.15,22.87,2432,421406.99,28.41
ALLEN       ,93086,15764773.6,51956,7474945.53,27.29,41130,8289828.07,27.82
BARTHOLOMEW ,19239,2935153.36,9217,1133327.97,19.9,10022,1801825.39,22.99
BENTON      ,2768,379063.81,1528,194113.51,27.83,1240,184950.3,26.88
BLACKFORD   ,4422,843136.9,2662,497359.78,31.79,1760,345777.12,21.5
BOONE       ,6748,1146634.95,3560,485547.91,27.15,3188,661087.04,34.23
CARROLL     ,2631,444564.3,1356,162576.85,23.78,1275,281987.45,29.73
CASS        ,11013,1637128.33,5630,729346.82,22.18,5383,907781.51,24.76
CLARK       ,23062,3688384.71,12744,1675290.97,23.05,10318,2013093.74,28.55
CLAY        ,8834,1372394.18,4709,564192.14,22,4125,808202.04,20.73
CLINTON     ,6846,1076301.62,4279,545187.4,22.58,2567,531114.22,29.16
CRAWFORD    ,4137,715582.3,2421,384263.66,24.73,1716,331318.64,27.83
DAVIESS     ,6275,885605.51,3452,426104.42,24.51,2823,459501.09,22.91
DEARBORN    ,10977,1846424.81,5727,873889.88,22.18,5250,972534.93,25.73
DECATUR     ,4733,631529.84,2466,271567.3,20.36,2267,359962.54,31.99
DEKALB      ,7589,1423760.59,4071,736976.81,29.98,3518,686783.78,31.94
DELAWARE    ,40969,6274985.13,21995,3111192.5,31.16,18974,3163792.63,27.08
DUBOIS      ,5853,1091126.58,3214,504594.9,18.99,2639,586531.68,27.43
ELKHART     ,49931,8739342.87,28237,3666847.1,23.89,21694,5072495.77,31.25
FAYETTE     ,11249,1674006.67,5873,712671.41,27.91,5376,961335.26,38
FLOYD       ,15974,2409946.09,8475,1100939.34,20.42,7499,1309006.75,30
FOUNTAIN    ,3224,476419.98,1746,213186.67,35.5,1478,263233.31,29.16
FRANKLIN    ,3230,475870.5,1798,241902.51,24.53,1432,233967.99,38.56
FULTON      ,3853,565088.07,1986,248676.13,22.58,1867,316411.94,18.9
GIBSON      ,8170,1667618.2,4294,703902.79,27.83,3876,963715.41,26.83
GRANT       ,24636,4215954.06,13608,1814656.48,18.02,11028,2401297.58,19.99
GREENE      ,6052,1018995.64,3337,484474.67,20.45,2715,534520.97,27.68
