COUNTY,TOTAL_PRESCRIPTIONS,TOTAL_PRESCRIPTION_COST,TOTAL_PRESCRIPTIONS_PREBIRTHING_EVENT,PRESCRIPTION_COST_PREBIRTHING_EVENT,PREBIRTHING_MEDIAN_COST,TOTAL_PRESCRIPTIONS_POSTBIRTHING_EVENT,PRESCRIPTION_COST_POSTBIRTHING_EVENT,POSTBIRTHING_MEDIAN_COST
ADAMS       ,4752,267874.49,3233,172887.36,10.99,1519,94987.13,8.35
ALLEN       ,83578,5508668.28,47696,2660458.57,10.15,35882,2848209.71,10.26
BARTHOLOMEW ,13079,1063374.77,5213,351461.86,10.26,7866,711912.91,12.05
BENTON      ,1901,100019.23,995,44581.74,10.21,906,55437.49,10.2
BLACKFORD   ,2346,287852.12,1104,94221.68,11.84,1242,193630.44,10.35
BOONE       ,5321,423827.43,2209,95105.82,10.26,3112,328721.61,13.84
CARROLL     ,2344,117127.09,1288,51186.47,8.69,1056,65940.62,11.06
CASS        ,6847,554086.67,2706,180940.25,12.62,4141,373146.42,12.65
CLARK       ,16375,1389500.39,9357,730675.15,11.71,7018,658825.24,13.63
CLAY        ,7353,610363.74,3922,272817.84,11,3431,337545.9,11.78
CLINTON     ,6288,496432.64,3607,238065.95,11.42,2681,258366.69,12.26
CRAWFORD    ,6394,448858.39,3009,184706.5,11.05,3385,264151.89,25.81
DAVIESS     ,5491,580176.5,3325,392140.43,16.09,2166,188036.07,12.24
DEARBORN    ,5923,687230.73,2504,209993.64,13.36,3419,477237.09,14.54
DECATUR     ,3009,188919.9,1538,78873.98,10.98,1471,110045.92,16.35
DEKALB      ,8089,956972.68,4065,527505.75,15.23,4024,429466.93,14.8
DELAWARE    ,26429,1979020.96,13847,991007.94,10.69,12582,988013.02,11.77
DUBOIS      ,15931,3713007.6,12105,3002318.66,22.68,3826,710688.94,20.15
ELKHART     ,28367,2529687.81,15239,1228764.99,11.56,13128,1300922.82,11.06
FAYETTE     ,6996,479901.51,3183,174829.99,10.58,3813,305071.52,14.16
FLOYD       ,11519,1105532.86,5614,496830.1,11.2,5905,608702.76,15.02
FOUNTAIN    ,2925,169752.76,1826,111190.44,11.86,1099,58562.32,10.26
FRANKLIN    ,1586,80173.18,737,34390.65,11.02,849,45782.53,14.2
FULTON      ,1924,151317.74,1017,98726.53,11.02,907,52591.21,10.23
GIBSON      ,8897,1094506.3,2638,198330.05,10.66,6259,896176.25,21.17
GRANT       ,19156,1447545.23,11756,764205.52,10.58,7400,683339.71,12
GREENE      ,3839,261236.34,2000,109246.36,10.99,1839,151989.98,11.05
HAMILTON    ,12628,1075932.2,5555,351619.05,10.99,7073,724313.15,13.41
HANCOCK     ,7654,513335.99,4151,230684.32,10.69,3503,282651.67,17.09
HARRISON    ,6698,358450.08,4445,185754.5,10.99,2253,172695.58,11.99
HENDRICKS   ,9444,810910.83,4921,346388.34,11.64,4523,464522.49,13.04
HENRY       ,12648,1090943.88,7117,535477.39,10.58,5531,555466.49,11.41
HOWARD      ,20805,1808533.2,10074,754874.04,10.66,10731,1053659.16,13.59
HUNTINGTON  ,9720,847876.79,5716,375866.88,10.26,4004,472009.91,10.26
JACKSON     ,7349,840423.61,2960,167243.43,10.99,4389,673180.18,12.4
JASPER      ,4892,306922.18,2199,106922.1,11.56,2693,200000.08,13.43
JAY         ,3833,306496.85,2208,188169.32,13.86,1625,118327.53,10.38
JEFFERSON   ,10002,562945.04,6398,185900.62,12.62,3604,377044.42,13.72
JENNINGS    ,6364,491357.53,3473,195525.31,10.28,2891,295832.22,12.37
JOHNSON     ,15892,1088647.6,8979,455932.51,10.26,6913,632715.09,12.97
KNOX        ,17614,1751527.24,9382,673706.04,9.09,8232,1077821.2,14.7
KOSCIUSKO   ,8274,527744.52,4673,255557.23,10.69,3601,272187.29,10.35
LAGRANGE    ,3656,319573.69,1716,100520.32,10.26,1940,219053.37,11.04
LAKE        ,96825,6322565.54,56102,3003008.27,10.35,40723,3319557.27,12.1
LAPORTE     ,26790,1984997.89,15081,786708.88,10.66,11709,1198289.01,12.07
LAWRENCE    ,13697,861047.79,8616,453798.84,8.8,5081,407248.95,15.06
MADISON     ,28717,2227558.97,15785,1008455.45,10.58,12932,1219103.52,13.21
MARION      ,201632,15454587.13,116421,6963099.05,10.56,85211,8491488.08,12.7
MARSHALL    ,5297,331716.6,2967,159594.39,10.26,2330,172122.21,10.97
MARTIN      ,2686,185610.21,1500,72147.92,5.02,1186,113462.29,13.4
MIAMI       ,11050,852306.99,5343,343766.85,9.3,5707,508540.14,11.18
MONROE      ,16094,1286111.4,7707,559151.35,10.99,8387,726960.05,13.54
MONTGOMERY  ,8925,567434.52,4171,268863.48,12.95,4754,298571.04,10.51
MORGAN      ,11043,877983.39,5280,282290.76,11.54,5763,595692.63,14.51
NEWTON      ,2431,218580.53,1359,154680.41,10.74,1072,63900.12,10.35
NOBLE       ,6978,388358.71,3587,177250.78,10.58,3391,211107.93,10.26
ORANGE      ,5946,376768.65,3255,190221.33,10.99,2691,186547.32,11.86
OWEN        ,4769,256748.62,2806,147491.19,10.58,1963,109257.43,14.2
PARKE       ,2455,132523.97,1474,71593.14,9.22,981,60930.83,10.05
PERRY       ,3981,498412.09,2007,143815.48,12.15,1974,354596.61,22.48
PORTER      ,17553,1186286.27,8393,551962.77,12.55,9160,634323.5,10.66
POSEY       ,8977,665234.12,3189,211826.52,13.01,5788,453407.6,14.28
PULASKI     ,2297,182435.69,1183,84781.59,14.16,1114,97654.1,17.12
PUTNAM      ,5634,324026.89,3501,171184.27,10.29,2133,152842.62,11.49
RANDOLPH    ,6137,441286.8,3633,144150.17,9.71,2504,297136.63,10.67
RIPLEY      ,3862,199465.7,1707,62347.22,11.64,2155,137118.48,14.77
RUSH        ,2077,157979.43,1289,115608.53,13.89,788,42370.9,10.9
SCOTT       ,4740,342205.62,2029,112720.92,10.66,2711,229484.7,13.28
SHELBY      ,6412,430742.5,3264,220624.86,11.36,3148,210117.64,10.58
SPENCER     ,3507,224886.51,1098,59733.55,9.88,2409,165152.96,12.29
ST. JOSEPH  ,35745,3166813.58,19391,1424789.46,11.42,16354,1742024.12,11.34
STARKE      ,6138,352158.57,3953,199496.3,9.42,2185,152662.27,10.16
STEUBEN     ,5591,1120173.85,2640,130253.19,10.9,2951,989920.66,11.77
SULLIVAN    ,5326,503181.64,2248,119732.36,10.58,3078,383449.28,13.22
SWITZERLAND ,1079,75094.87,567,32824.67,8.55,512,42270.2,10.77
TIPPECANOE  ,24038,1959322.95,12294,715723.14,11.56,11744,1243599.81,12.38
TIPTON      ,1601,119403.75,854,61900.95,13.74,747,57502.8,12.67
VANDERBURGH ,87485,8741655.13,46325,4807403.74,14.47,41160,3934251.39,16.41
VERMILLION  ,4024,376915.91,2564,163256.89,9.22,1460,213659.02,11.06
VIGO        ,26253,1876361.53,15033,715352.55,8.69,11220,1161008.98,10.66
WABASH      ,4409,360031.23,2451,166783.4,10.97,1958,193247.83,11.53
WARRICK     ,8924,866698.89,5096,506380.29,15.72,3828,360318.6,15.01
WASHINGTON  ,6766,430618.28,4299,247782.33,10.99,2467,182835.95,14.16
WAYNE       ,15707,1764918.32,7239,964382.93,10.58,8468,800535.39,12.61
WELLS       ,3562,233958.72,2222,102338.35,8.73,1340,131620.37,11.36
WHITE       ,2871,218033.07,1387,80466.19,10.58,1484,137566.88,9.9
WHITLEY     ,5715,337555.44,2919,169892.91,10.26,2796,167662.53,9.2
