COUNTY,RECIPIENTS
ADAMS       ,22
ALLEN       ,396
BARTHOLOMEW ,44
BOONE       ,26
CASS        ,64
CLARK       ,227
CLAY        ,26
CLINTON     ,40
DAVIESS     ,27
DEKALB      ,29
DELAWARE    ,110
DUBOIS      ,42
ELKHART     ,164
FAYETTE     ,22
FLOYD       ,101
GIBSON      ,24
GRANT       ,55
GREENE      ,33
HAMILTON    ,76
HANCOCK     ,39
HARRISON    ,41
HENDRICKS   ,47
HOWARD      ,55
HUNTINGTON  ,36
JACKSON     ,56
JEFFERSON   ,23
JENNINGS    ,27
JOHNSON     ,98
KOSCIUSKO   ,46
LAKE        ,427
LAPORTE     ,71
LAWRENCE    ,50
MADISON     ,112
MARION      ,1048
MARSHALL    ,34
MIAMI       ,38
MONROE      ,75
MORGAN      ,38
NOBLE       ,23
ORANGE      ,36
PORTER      ,77
SCOTT       ,33
SHELBY      ,33
ST. JOSEPH  ,203
STEUBEN     ,22
TIPPECANOE  ,55
UNKNOWN,471
VANDERBURGH ,166
VIGO        ,89
WABASH      ,27
WARRICK     ,22
WASHINGTON  ,26
WAYNE       ,63
