COUNTY,TOTAL_CLAIMS,TOTAL_COST,TOTAL_CLAIMS_PREBIRTHING_EVENT,TOTAL_COST_PREBIRTHING_EVENT,PREBIRTHING_MEDIAN_COST,TOTAL_CLAIMS_POSTBIRTHING_EVENT,TOTAL_COST_POSTBIRTHING_EVENT,POSTBIRTHING_MEDIAN_COST
ADAMS       ,1505,353527.72,846,99917.04,22.25,659,253610.68,43.34
ALLEN       ,41845,7534095.72,23833,3715202.23,27.26,18012,3818893.49,29.06
BARTHOLOMEW ,4077,752051.81,2222,331680.43,28.35,1855,420371.38,27.91
BOONE       ,2524,432729.62,1372,184587.13,28.35,1152,248142.49,35.17
CASS        ,6148,1042411.41,3557,534459.66,24.11,2591,507951.75,23.02
CLARK       ,20741,3423802.6,11051,1457831.02,22.88,9690,1965971.58,29.73
CLAY        ,2972,471600.37,1662,187511.64,22.56,1310,284088.73,27
CLINTON     ,3119,660473.11,1622,255908.59,20,1497,404564.52,36.26
DAVIESS     ,2500,380181.66,1615,211721.45,28.35,885,168460.21,29.98
DEKALB      ,2350,430004.26,1453,262470.76,28.61,897,167533.5,27.51
DELAWARE    ,12500,2290181.27,7527,1233256.93,31.51,4973,1056924.34,28.43
DUBOIS      ,3462,627825.73,2068,340779.4,18.7,1394,287046.33,27.83
ELKHART     ,12854,2644693.63,6883,1091527,23.89,5971,1553166.63,32.7
FAYETTE     ,1798,280988.55,1073,147079.49,26.14,725,133909.06,22.18
FLOYD       ,10525,1557768.94,5926,744004.45,22.58,4599,813764.49,27.45
GIBSON      ,3310,857122.65,1607,290392.26,22.16,1703,566730.39,28.61
GRANT       ,6258,1322242.51,3380,541710.06,18.02,2878,780532.45,21.68
GREENE      ,3846,689419.3,2280,406019.03,22.29,1566,283400.27,27.28
HAMILTON    ,7650,1399728.7,4192,709475.45,28.43,3458,690253.25,30.85
HANCOCK     ,5380,878762.21,2694,339070.03,23.78,2686,539692.18,36.26
HARRISON    ,4935,888251.82,2930,525415.43,25.91,2005,362836.39,20.47
HENDRICKS   ,4478,834883.6,2506,511128.53,27.46,1972,323755.07,29.16
HOWARD      ,6123,986341.89,3339,489222.24,22.86,2784,497119.65,28.84
HUNTINGTON  ,5514,1188440.27,3039,562427.1,27.83,2475,626013.17,34.6
JACKSON     ,5508,937886.9,3080,444297.94,28.61,2428,493588.96,30.24
JEFFERSON   ,3082,511901.38,1679,324461.99,24.83,1403,187439.39,19.01
JENNINGS    ,2892,489624.54,1466,181193.39,28.61,1426,308431.15,30.9
JOHNSON     ,10349,1862461.51,5905,853364.15,27.32,4444,1009097.36,30.9
KOSCIUSKO   ,2965,475032.35,1684,196373.8,31.51,1281,278658.55,33.42
LAKE        ,42726,8604944.34,24487,4221243.41,25.26,18239,4383700.93,31.12
LAPORTE     ,8334,1631407.41,4490,673218.3,28.64,3844,958189.11,27
LAWRENCE    ,5029,715678.27,2800,376643.66,23.78,2229,339034.61,24.1
MADISON     ,13118,2389863.22,7465,1192598.66,23,5653,1197264.56,27.28
MARION      ,100755,19993216.39,56808,10261212.5,27.83,43947,9732003.89,28.43
MARSHALL    ,3287,564614.97,2045,279391.68,19.5,1242,285223.29,28.64
MIAMI       ,4580,682596.3,2768,353558.24,20,1812,329038.06,28.84
MONROE      ,10927,1476775.75,5619,676053.49,27,5308,800722.26,26.47
MORGAN      ,4764,951181.36,2414,450103.63,27.83,2350,501077.73,31.51
NOBLE       ,1623,315717.33,896,167730.99,36.26,727,147986.34,30
ORANGE      ,4175,727016.58,2314,356538.91,18.9,1861,370477.67,35.17
PORTER      ,8362,1489279.21,4308,652872.36,22.89,4054,836406.85,23.99
SCOTT       ,4371,581348.55,2051,201318.61,23.31,2320,380029.94,24.17
SHELBY      ,3282,702799.46,1692,310756.8,20.45,1590,392042.66,30
ST. JOSEPH  ,19236,3491382.3,10922,1733971.71,28.35,8314,1757410.59,30.9
STEUBEN     ,2285,1136120.83,1163,203669.93,28.61,1122,932450.9,30.96
TIPPECANOE  ,4766,1142210.12,2788,598426.47,32.07,1978,543783.65,32.57
UNKNOWN,57456,10358351.03,31812,5227709.38,27.29,25644,5130641.65,28.68
VANDERBURGH ,21518,3636221.2,11267,1695510.23,25.65,10251,1940710.97,24.27
VIGO        ,12005,1735480.53,6221,761373.78,23.74,5784,974106.75,23.98
WABASH      ,2917,506883.45,1654,307344.42,33.36,1263,199539.03,31.2
WARRICK     ,2738,354033.4,1619,169701.1,21.74,1119,184332.3,22.18
WASHINGTON  ,3002,444901.55,1653,185911.48,17.51,1349,258990.07,29.67
WAYNE       ,6747,1204920.9,3733,632809.16,28.35,3014,572111.74,29.04
