COUNTY,TOTAL_PRESCRIPTIONS,TOTAL_PRESCRIPTION_COST,TOTAL_PRESCRIPTIONS_PREBIRTHING_EVENT,PRESCRIPTION_COST_PREBIRTHING_EVENT,PREBIRTHING_MEDIAN_COST,TOTAL_PRESCRIPTIONS_POSTBIRTHING_EVENT,PRESCRIPTION_COST_POSTBIRTHING_EVENT,POSTBIRTHING_MEDIAN_COST
ADAMS       ,1289,72798.39,912,24814.84,9.22,377,47983.55,8.69
ALLEN       ,44302,3085733.62,27111,1563474.65,10.58,17191,1522258.97,10.04
BARTHOLOMEW ,2300,209898.09,1156,62257.22,9.4,1144,147640.87,9
BOONE       ,1687,134711.57,874,56504.48,12,813,78207.09,13.77
CASS        ,3458,386776.49,1559,134982.04,12.48,1899,251794.45,13.04
CLARK       ,15507,1266380.78,8386,657320.74,11.72,7121,609060.04,14.99
CLAY        ,2944,183166.57,1978,109225.05,12.99,966,73941.52,12.68
CLINTON     ,3202,237450.23,2068,135027.33,10.26,1134,102422.9,11.01
DAVIESS     ,3651,510399.97,2662,401371.54,19.12,989,109028.43,19.12
DEKALB      ,2969,320170.38,1677,164019.95,8.56,1292,156150.43,23.66
DELAWARE    ,9197,700631.8,5467,409481.19,10.95,3730,291150.61,11.66
DUBOIS      ,14097,3554737.76,11384,3025111.38,26.55,2713,529626.38,25.81
ELKHART     ,7905,761623.57,4010,390526.26,11.55,3895,371097.31,14.05
FAYETTE     ,1055,61757.59,470,32366.64,8.64,585,29390.95,7.86
FLOYD       ,6923,551928.78,3606,237762.34,11.22,3317,314166.44,13.74
GIBSON      ,4742,654635.44,1000,125569.82,11,3742,529065.62,26.54
GRANT       ,4041,334820.21,2235,162057.93,10.66,1806,172762.28,10.32
GREENE      ,3704,426666.72,1996,245587.51,10.58,1708,181079.21,17.61
HAMILTON    ,4353,399698.19,2005,147233.36,13.71,2348,252464.83,12.82
HANCOCK     ,2867,240932.14,1293,103909.77,10.71,1574,137022.37,16.3
HARRISON    ,5215,253836.94,3743,154418.62,10.99,1472,99418.32,11.99
HENDRICKS   ,3249,240098.03,2021,127664.09,10.74,1228,112433.94,10.57
HOWARD      ,4189,260176.5,2398,146794.93,10.26,1791,113381.57,11.2
HUNTINGTON  ,4902,616199.24,3045,255761.74,11.34,1857,360437.5,12.56
JACKSON     ,3823,465472.55,1732,108479.31,11.78,2091,356993.24,10.26
JEFFERSON   ,5701,221059.46,4653,108597.71,12.62,1048,112461.75,11
JENNINGS    ,2102,182292.75,850,58221.01,14.72,1252,124071.74,11.45
JOHNSON     ,6708,402765.43,4213,214322.93,11.02,2495,188442.5,14.3
KOSCIUSKO   ,2036,110801.56,1079,44671.1,10.87,957,66130.46,11.59
LAKE        ,48894,2960550.45,31419,1654913.54,10.58,17475,1305636.91,11.32
LAPORTE     ,9024,961022.79,5190,274734.24,10.58,3834,686288.55,12.65
LAWRENCE    ,2782,184240.42,1489,101324.25,10.99,1293,82916.17,12.26
MADISON     ,10363,791144.11,5999,398284.81,10.21,4364,392859.3,11.74
MARION      ,82842,6966753.19,49729,3661996.26,10.77,33113,3304756.93,12.6
MARSHALL    ,1946,150748.68,1169,73224.07,9.56,777,77524.61,10.67
MIAMI       ,3913,296705.81,2707,200494.85,9.05,1206,96210.96,11.06
MONROE      ,6936,446072.26,3272,229578.63,11.39,3664,216493.63,12.36
MORGAN      ,3664,253785.45,1449,92717.75,11.2,2215,161067.7,12.27
NOBLE       ,982,41538.97,517,24008.98,9.22,465,17529.99,12.82
ORANGE      ,2959,203516.13,1774,115447.75,9.56,1185,88068.38,10.74
PORTER      ,7353,490672.23,4475,227141.83,11.9,2878,263530.4,12.41
SCOTT       ,2237,179471.92,943,35643.16,11.39,1294,143828.76,10.74
SHELBY      ,2063,227367.81,1239,116758.7,11.77,824,110609.11,14.54
ST. JOSEPH  ,11089,778280.01,6150,419314.52,10.66,4939,358965.49,11.16
STEUBEN     ,2195,916319.33,1083,74712.68,11.77,1112,841606.65,13.06
TIPPECANOE  ,4565,417000.03,2803,236659.15,13.88,1762,180340.88,11.75
UNKNOWN,55924,5648663.97,30590,2309659.71,10.66,25334,3339004.26,13.24
VANDERBURGH ,33877,3685691.95,16394,1742361.55,17.57,17483,1943330.4,18.96
VIGO        ,9538,718923.77,4611,267024.6,9.24,4927,451899.17,10.8
WABASH      ,1499,102404.57,812,75304.52,12.06,687,27100.05,10.67
WARRICK     ,2429,152776.36,1703,117260.36,13.85,726,35516,15.29
WASHINGTON  ,3349,198902.48,2161,101737.22,10.99,1188,97165.26,11.6
WAYNE       ,5157,407654.13,2538,217399.24,10.58,2619,190254.89,10.69
