COUNTY,RECIPIENTS
ADAMS       ,34
ALLEN       ,627
BARTHOLOMEW ,123
BLACKFORD   ,32
BOONE       ,48
CARROLL     ,23
CASS        ,106
CLARK       ,157
CLAY        ,51
CLINTON     ,47
DAVIESS     ,51
DEARBORN    ,69
DECATUR     ,36
DEKALB      ,50
DELAWARE    ,239
DUBOIS      ,49
ELKHART     ,393
FAYETTE     ,53
FLOYD       ,91
FOUNTAIN    ,24
FRANKLIN    ,22
FULTON      ,27
GIBSON      ,60
GRANT       ,134
GREENE      ,69
HAMILTON    ,151
HANCOCK     ,73
HARRISON    ,73
HENDRICKS   ,127
HENRY       ,77
HOWARD      ,161
HUNTINGTON  ,67
JACKSON     ,75
JASPER      ,57
JAY         ,40
JEFFERSON   ,62
JENNINGS    ,51
JOHNSON     ,179
KNOX        ,81
KOSCIUSKO   ,114
LAGRANGE    ,40
LAKE        ,757
LAPORTE     ,221
LAWRENCE    ,102
MADISON     ,307
MARION      ,2048
MARSHALL    ,80
MIAMI       ,79
MONROE      ,186
MONTGOMERY  ,68
MORGAN      ,106
NEWTON      ,26
NOBLE       ,77
ORANGE      ,48
OWEN        ,42
PARKE       ,23
PERRY       ,29
PORTER      ,176
POSEY       ,31
PULASKI     ,21
PUTNAM      ,56
RANDOLPH    ,50
RIPLEY      ,39
RUSH        ,26
SCOTT       ,49
SHELBY      ,77
SPENCER     ,30
ST. JOSEPH  ,538
STARKE      ,44
STEUBEN     ,57
SULLIVAN    ,40
TIPPECANOE  ,226
VANDERBURGH ,398
VERMILLION  ,25
VIGO        ,225
WABASH      ,50
WARRICK     ,61
WASHINGTON  ,41
WAYNE       ,144
WELLS       ,38
WHITE       ,32
WHITLEY     ,49
