COUNTY,TOTAL_CLAIMS,TOTAL_COST,TOTAL_CLAIMS_PREBIRTHING_EVENT,TOTAL_COST_PREBIRTHING_EVENT,PREBIRTHING_MEDIAN_COST,TOTAL_CLAIMS_POSTBIRTHING_EVENT,TOTAL_COST_POSTBIRTHING_EVENT,POSTBIRTHING_MEDIAN_COST
ADAMS       ,4200,648937.07,2210,323735.59,25.92,1990,325201.48,31.8
ALLEN       ,82883,13565991.94,44441,6309618.59,27.29,38442,7256373.35,27.83
BARTHOLOMEW ,16277,2272912.25,7424,905314.58,19.17,8853,1367597.67,20.17
BLACKFORD   ,3977,770215.61,2245,419516.05,31.51,1732,350699.56,24.75
BOONE       ,6402,1139297.7,3002,468636.94,22.83,3400,670660.76,31.22
CARROLL     ,2855,379778.64,1251,157718.73,22.89,1604,222059.91,23.18
CASS        ,12493,1751345.16,6342,798753.68,22.8,6151,952591.48,24.11
CLARK       ,19133,2795381.33,9993,1228641.92,21.93,9140,1566739.41,26.01
CLAY        ,7760,1168661.42,3885,431307.18,19.61,3875,737354.24,19.34
CLINTON     ,6078,878802.58,3486,424154.33,21.89,2592,454648.25,29.08
DAVIESS     ,7119,914646.42,3887,400690.88,25.42,3232,513955.54,22.91
DEARBORN    ,11921,1716250.07,5992,761968.26,20.83,5929,954281.81,24.11
DECATUR     ,4691,657215.04,2366,255535.13,22.8,2325,401679.91,26.47
DEKALB      ,6628,1180481.75,3367,633649.13,29.98,3261,546832.62,29.98
DELAWARE    ,37056,5670269.47,19158,2696644.33,29.48,17898,2973625.14,27.54
DUBOIS      ,5557,817638.71,2700,294653.99,16.54,2857,522984.72,22.79
ELKHART     ,47356,7871840.88,25309,3035029.07,23.71,22047,4836811.81,29.35
FAYETTE     ,8504,1175732.66,4239,469742.59,27.83,4265,705990.07,34.97
FLOYD       ,13995,2029373.94,7263,919276.89,21.01,6732,1110097.05,26.62
FOUNTAIN    ,2987,418682.96,1553,201550.39,34.98,1434,217132.57,30.18
FRANKLIN    ,2437,318535.74,1110,155323.84,25.73,1327,163211.9,31.53
FULTON      ,2989,449505.53,1637,203584.32,19.2,1352,245921.21,24.98
GIBSON      ,8921,1584941.91,4532,654296.42,23.42,4389,930645.49,26.41
GRANT       ,18345,3015024.77,9713,1324986.77,17.48,8632,1690038,21.98
GREENE      ,9367,1502724.08,5068,755992.06,20.45,4299,746732.02,25.85
HAMILTON    ,19922,3387656.99,10022,1713303.26,27.43,9900,1674353.73,25.66
HANCOCK     ,11420,1759773.71,5396,747085.56,27.29,6024,1012688.15,29.22
HARRISON    ,9765,1472216.91,4933,783944.36,25.88,4832,688272.55,20.17
HENDRICKS   ,14555,2320824.32,7409,1094514.02,23.09,7146,1226310.3,26.96
HENRY       ,12223,1636916.27,6265,874986.24,23.87,5958,761930.03,20
HOWARD      ,23400,4048395.19,11792,2006043.72,27.6,11608,2042351.47,31.2
HUNTINGTON  ,10640,1834925,5256,777074.49,24.11,5384,1057850.51,29
JACKSON     ,9076,1250244.41,4350,501993.53,25.88,4726,748250.88,23.05
JASPER      ,7192,941493.14,3685,425383.26,25.23,3507,516109.88,26.48
JAY         ,6332,747751.71,3598,381874.71,26.54,2734,365877,26.47
JEFFERSON   ,7812,1052944.24,4101,470477.68,22.56,3711,582466.56,25.82
JENNINGS    ,6282,1018036.22,3262,483758.27,24.86,3020,534277.95,31
JOHNSON     ,22471,3365387.73,10815,1315554.28,23.32,11656,2049833.45,29.31
KNOX        ,12383,1963158.89,6112,771286.02,19.61,6271,1191872.87,20.75
KOSCIUSKO   ,13321,1733954.09,6893,759193.86,27.83,6428,974760.23,24.17
LAGRANGE    ,5879,833682.17,2845,325900.26,26.17,3034,507781.91,30.5
LAKE        ,94168,15785091.56,51442,7192209.56,22.85,42726,8592882,27.48
LAPORTE     ,28992,4415387.1,14635,1802675.61,28.05,14357,2612711.49,25.04
LAWRENCE    ,12916,1822639.02,6178,875259.52,22.58,6738,947379.5,26.35
MADISON     ,41817,6446673,21626,2948609.69,21.88,20191,3498063.31,29.35
MARION      ,257438,41854463.53,137451,19752704.52,24.7,119987,22101759.01,25.35
MARSHALL    ,9144,1684250.94,4848,677015.84,21.12,4296,1007235.1,27.72
MIAMI       ,11058,1710726.62,5885,852645.24,23.48,5173,858081.38,31.27
MONROE      ,29877,4388373.39,14158,1678663.19,25,15719,2709710.2,29.98
MONTGOMERY  ,8091,1257801.46,4103,536669.62,28.55,3988,721131.84,30
MORGAN      ,15159,2243541.62,7181,906875.28,22.58,7978,1336666.34,25.88
NEWTON      ,3344,524208.86,1822,292985.72,28.1,1522,231223.14,19.33
NOBLE       ,10230,1539280.48,5670,709679.92,28.79,4560,829600.56,29.06
ORANGE      ,6982,1100249.55,3341,409649.53,21.7,3641,690600.02,29.15
OWEN        ,5997,847750.1,2890,376495.63,24.92,3107,471254.47,29.35
PARKE       ,3262,595833.96,1626,251907.65,22.83,1636,343926.31,19.49
PERRY       ,3711,522795.7,1829,206743.71,22.87,1882,316051.99,27
PORTER      ,22146,3220853.15,10640,1305298.56,22.93,11506,1915554.59,25.18
POSEY       ,4234,620242.53,2423,306730.72,26.47,1811,313511.81,21.85
PULASKI     ,3673,446768.4,1838,232122.37,23.42,1835,214646.03,21.87
PUTNAM      ,6982,1076534.53,3115,498500.89,24.3,3867,578033.64,20.13
RANDOLPH    ,7495,1320755.25,4476,740887.64,26.14,3019,579867.61,29.06
RIPLEY      ,5424,634925.15,2533,247182.42,20.27,2891,387742.73,20.17
RUSH        ,3808,450047.89,1823,170596.3,18.9,1985,279451.59,23.91
SCOTT       ,6624,903619.94,2880,302663.91,23.82,3744,600956.03,24.81
SHELBY      ,9334,1495186.42,4880,654749.31,20.15,4454,840437.11,28.29
SPENCER     ,3786,457718.95,2012,249123.96,22.15,1774,208594.99,19
ST. JOSEPH  ,69112,10925760.99,37697,5204969.63,26.46,31415,5720791.36,28.35
STARKE      ,5302,714378.3,2211,317806.44,26.47,3091,396571.86,17.89
STEUBEN     ,6657,1590676.45,3512,374435.44,25.65,3145,1216241.01,29.06
SULLIVAN    ,5588,909307.97,2832,363875.17,22.3,2756,545432.8,30.51
TIPPECANOE  ,28672,4601523.05,14732,1990342.19,29.98,13940,2611180.86,27.22
VANDERBURGH ,64851,9951840.77,34188,4664085.72,22.89,30663,5287755.05,22.72
VERMILLION  ,3387,638559.52,1796,268299.69,21.32,1591,370259.83,21.53
VIGO        ,31323,4384721.34,15569,1926897.39,24.64,15754,2457823.95,22.85
WABASH      ,6933,950961.39,3863,476693.71,28.35,3070,474267.68,24.93
