COUNTY,TOTAL_PRESCRIPTIONS,TOTAL_PRESCRIPTION_COST,TOTAL_PRESCRIPTIONS_PREBIRTHING_EVENT,PRESCRIPTION_COST_PREBIRTHING_EVENT,PREBIRTHING_MEDIAN_COST,TOTAL_PRESCRIPTIONS_POSTBIRTHING_EVENT,PRESCRIPTION_COST_POSTBIRTHING_EVENT,POSTBIRTHING_MEDIAN_COST
ADAMS       ,3750,317722.86,2323,155744.6,10.99,1427,161978.26,10.58
ALLEN       ,77156,5177925.13,42625,2423861.67,10.26,34531,2754063.46,10.33
BARTHOLOMEW ,11430,900522.06,4466,275020.39,10.58,6964,625501.67,10.66
BLACKFORD   ,2455,352172.1,1009,83150.68,11.52,1446,269021.42,11.04
BOONE       ,4854,422552.76,2311,196895.76,10.99,2543,225657,11.24
CARROLL     ,2234,157461.35,778,39459.07,9,1456,118002.28,12.65
CASS        ,7335,526748.21,2992,194397.25,12.72,4343,332350.96,10.66
CLARK       ,13407,979297.56,7185,488827.7,11.56,6222,490469.86,12.66
CLAY        ,7007,496679.2,3700,201257.68,10.66,3307,295421.52,10.66
CLINTON     ,4745,420841.18,2599,191488.69,11.66,2146,229352.49,10.58
DAVIESS     ,6298,639571.38,3580,436457.92,14.73,2718,203113.46,12.54
DEARBORN    ,6474,662945.34,2669,192942.71,13,3805,470002.63,13.74
DECATUR     ,2942,221696.09,1287,65750.7,10.74,1655,155945.39,12.89
DEKALB      ,6035,817259.42,3457,526746.19,19.4,2578,290513.23,10.35
DELAWARE    ,24088,1857524.63,11800,913860.31,10.74,12288,943664.32,11.97
DUBOIS      ,5510,763455.65,1492,112148.91,10.34,4018,651306.74,15.54
ELKHART     ,26824,2528925.73,12787,970642.48,11.77,14037,1558283.25,10.84
FAYETTE     ,5675,364766.03,2472,130670.32,10.58,3203,234095.71,12.95
FLOYD       ,9547,736575.93,4843,310511.77,13.58,4704,426064.16,14.4
FOUNTAIN    ,2458,153769.25,1621,104121.95,12.13,837,49647.3,11.5
FRANKLIN    ,1351,72082.04,569,31696.24,10.69,782,40385.8,11.88
FULTON      ,1707,157875.74,832,76785.82,9,875,81089.92,10.74
GIBSON      ,11529,1348876.16,4495,400870.74,14.09,7034,948005.42,19.06
GRANT       ,15276,1178628.75,8764,578350.92,10.04,6512,600277.83,11.74
GREENE      ,6475,531370.83,3498,292557.84,10.58,2977,238812.99,11.66
HAMILTON    ,12506,1096149.21,5277,361518.11,12.6,7229,734631.1,13.59
HANCOCK     ,6940,627505.06,3261,304010.52,14.39,3679,323494.54,17.34
HARRISON    ,8282,467123.03,4770,224170.92,10.99,3512,242952.11,11.79
HENDRICKS   ,10352,831438.61,4853,327852.48,10.99,5499,503586.13,15.17
HENRY       ,11173,682373.79,6274,343201.69,10.26,4899,339172.1,10.9
HOWARD      ,17158,1488198.15,7818,607467.58,10.7,9340,880730.57,14.06
HUNTINGTON  ,8650,734954.93,4809,306022.43,10.35,3841,428932.5,10.66
JACKSON     ,5891,510860.13,2280,116169.11,11.16,3611,394691.02,12.6
JASPER      ,5607,433230.59,2358,163160.9,14.16,3249,270069.69,13.32
JAY         ,3149,166062.14,1733,85014.52,11.77,1416,81047.62,10.26
JEFFERSON   ,4728,346964.11,2228,133625.36,13.74,2500,213338.75,12.5
JENNINGS    ,4470,258747.12,2484,136553.41,10,1986,122193.71,11.49
JOHNSON     ,13879,981591.23,6330,350611.89,10.83,7549,630979.34,11.99
KNOX        ,20104,2099389.07,7306,592802.21,10.58,12798,1506586.86,13.28
KOSCIUSKO   ,8250,407312.68,4326,186835.83,10.95,3924,220476.85,10.66
LAGRANGE    ,4183,375998.75,1862,107322.93,10.58,2321,268675.82,12.29
LAKE        ,90499,5977753.39,48289,2406476.54,10.26,42210,3571276.85,12.06
LAPORTE     ,25859,1856815.49,13025,633545.12,10.99,12834,1223270.37,11.63
