COUNTY,TOTAL_PRESCRIPTIONS,TOTAL_PRESCRIPTION_COST,TOTAL_PRESCRIPTIONS_PREBIRTHING_EVENT,PRESCRIPTION_COST_PREBIRTHING_EVENT,PREBIRTHING_MEDIAN_COST,TOTAL_PRESCRIPTIONS_POSTBIRTHING_EVENT,PRESCRIPTION_COST_POSTBIRTHING_EVENT,POSTBIRTHING_MEDIAN_COST
ADAMS       ,3230,173097.35,2222,111653.59,11.72,1008,61443.76,9.74
ALLEN       ,98710,6186622.09,57247,3138841.25,10.26,41463,3047780.84,9.66
BARTHOLOMEW ,11822,812569.4,5543,241779.18,9.21,6279,570790.22,10.67
BLACKFORD   ,1915,117405.8,1084,68555.03,10.66,831,48850.77,10.29
BOONE       ,5409,422812.78,2271,102991.29,10.68,3138,319821.49,13.32
CARROLL     ,1950,87576.66,1185,51186.53,8.61,765,36390.13,10.26
CASS        ,7091,596716.99,2842,181863.59,11.44,4249,414853.4,12.65
CLARK       ,17012,1264329.73,9566,636452.01,12.35,7446,627877.72,13.74
CLAY        ,8923,631536.46,4881,265266.92,10.58,4042,366269.54,10.66
CLINTON     ,3991,311605.07,2683,169758.75,10.66,1308,141846.32,10.24
DAVIESS     ,6076,688294.57,3515,443880.15,14.73,2561,244414.42,12
DEARBORN    ,3891,235284.48,1791,123523.11,11.37,2100,111761.37,13.59
DECATUR     ,3520,192557.69,1547,58555.59,10.58,1973,134002.1,15.14
DEKALB      ,9247,1087252.24,4583,561873.37,12.38,4664,525378.87,12.24
DELAWARE    ,21946,1219286.04,12600,659507.42,10.34,9346,559778.62,10.66
DUBOIS      ,5181,521876.76,3266,275158.59,10.66,1915,246718.17,12.65
ELKHART     ,31228,2664960.87,15832,1103754.97,10.99,15396,1561205.9,10.81
FAYETTE     ,4629,295516.81,2270,110422.07,10.58,2359,185094.74,14.87
FLOYD       ,9614,790688.95,4932,357195.62,11.64,4682,433493.33,14.16
FOUNTAIN    ,4140,221535.33,1726,112434.64,12.09,2414,109100.69,11.63
FRANKLIN    ,1205,70208.97,622,35822.16,12.13,583,34386.81,11.94
FULTON      ,1360,291156.38,673,39617.33,10.58,687,251539.05,10.5
GIBSON      ,13479,1570645.39,5712,521172.35,14.16,7767,1049473.04,20.5
GRANT       ,17241,1331604.88,10873,709524.05,10.58,6368,622080.83,10.58
GREENE      ,4581,524100.72,2084,226070.42,10.26,2497,298030.3,13.12
HAMILTON    ,8131,649115.57,3506,237430.75,10.99,4625,411684.82,12.9
HANCOCK     ,5269,377395.98,2473,147161.17,10.58,2796,230234.81,15.49
HARRISON    ,4290,257037.63,2562,147450.51,13.86,1728,109587.12,11.91
HENDRICKS   ,9440,536014.23,4640,256306.9,10.58,4800,279707.33,14.09
HENRY       ,11462,982109.19,6072,294568.21,10.26,5390,687540.98,10.58
HOWARD      ,12535,1096844.3,6510,505558.03,10.26,6025,591286.27,11.56
HUNTINGTON  ,10105,831301.63,5837,363804.05,10.26,4268,467497.58,10.54
JACKSON     ,5021,387114.49,2276,130776.41,11.02,2745,256338.08,10.01
JASPER      ,6020,433050.62,2916,181264.63,13.94,3104,251785.99,13.1
JAY         ,2965,228380.06,1619,114865.39,12.27,1346,113514.67,10.33
JEFFERSON   ,4586,337573.2,2232,122304.74,14.16,2354,215268.46,12.55
JENNINGS    ,5526,403038.76,2976,147216.42,10.58,2550,255822.34,11.22
JOHNSON     ,16087,1006112.46,9512,489745.48,10.66,6575,516366.98,12.85
KNOX        ,14661,1136632.59,8609,626909.94,9.22,6052,509722.65,13.29
KOSCIUSKO   ,9717,590715.65,5652,284840.62,10.87,4065,305875.03,10.35
LAGRANGE    ,4154,369313.48,1981,118724.63,10.26,2173,250588.85,11.77
LAKE        ,99820,6354228.8,61983,3071729.21,10.26,37837,3282499.59,11.39
LAPORTE     ,35238,2545270.48,20182,975060.83,10.99,15056,1570209.65,10.96
LAWRENCE    ,8893,601914.63,5821,368407.38,10.26,3072,233507.25,12.22
MADISON     ,30278,2077750.27,16651,916182.6,10.26,13627,1161567.67,12.35
MARION      ,214093,14698394.49,123220,6838981.33,10.58,90873,7859413.16,11.63
MARSHALL    ,3749,206489.92,2147,109133.78,10.26,1602,97356.14,9.29
MIAMI       ,6458,576489.85,3621,306844.61,10.69,2837,269645.24,12.65
MONROE      ,10335,888712.74,4759,278127.75,10.26,5576,610584.99,11.25
MONTGOMERY  ,9191,740431.07,4001,258943.72,11,5190,481487.35,10.66
MORGAN      ,9825,574389.29,4782,236663.57,11.72,5043,337725.72,12.97
NOBLE       ,8781,532565.46,4788,223388.33,10.26,3993,309177.13,9.95
ORANGE      ,3262,204771.05,1803,111146.25,10.58,1459,93624.8,9.49
OWEN        ,4024,205271.31,2337,104310.75,10.26,1687,100960.56,12.66
PARKE       ,4003,265198.17,2060,115261.79,10.26,1943,149936.38,10.96
PERRY       ,3149,276799.27,1606,85717.52,10.58,1543,191081.75,14.69
PORTER      ,12925,806684.87,6806,433990.98,12.7,6119,372693.89,10.07
POSEY       ,8287,545002.59,2706,172467.84,13.74,5581,372534.75,13.07
PUTNAM      ,5511,341014.24,3316,188595.69,10,2195,152418.55,9.78
RANDOLPH    ,3313,391888.52,2018,172592.46,10.88,1295,219296.06,12.38
RIPLEY      ,2227,104478.53,865,26692.49,11.3,1362,77786.04,12.16
RUSH        ,1960,148706.31,1160,116772.13,15.36,800,31934.18,10.66
SCOTT       ,4189,314407.55,1884,93985.37,10,2305,220422.18,12.65
SHELBY      ,4839,259646.29,2322,130266.83,11.02,2517,129379.46,10.7
SPENCER     ,3541,197889.43,1468,78299.89,10.58,2073,119589.54,10
ST. JOSEPH  ,35656,2426422.25,20604,1095612.21,10.58,15052,1330810.04,10.26
STARKE      ,4295,289742.22,1888,131103.73,10.26,2407,158638.49,9.79
STEUBEN     ,4855,361140.04,2414,122781.4,10.66,2441,238358.64,10.5
SULLIVAN    ,6318,531929.66,2944,139288.45,10.58,3374,392641.21,11.23
