zip_code,year,iugr,preeclampsia,male,female,unknown
460,2014,0.030018762,0.112570356,0.522544724,0.477729098,0.000912742
460,2015,0.03150315,0.090909091,0.5082852,0.490389168,0.002083136
460,2016,0.017333333,0.032666667,0.522036002,0.477757087,0.001448376
460,2017,0.029499627,0.041075429,0.503418803,0.496260684,0.001388889
460,2018,0.033792797,0.038239217,0.505748489,0.493421832,0.001777883
461,2014,0.033199771,0.096164854,0.518302494,0.475864843,0.007843926
461,2015,0.038834951,0.079435128,0.521555281,0.474628713,0.004744224
461,2016,0.015748031,0.021769338,0.518326865,0.479193618,0.003449763
461,2017,0.02647868,0.030949106,0.515440509,0.481153497,0.005108992
461,2018,0.041834272,0.034191472,0.511925252,0.485001229,0.003934104
462,2014,0.024581349,0.062221539,0.52234092,0.478448676,0.000650255
462,2015,0.063593683,0.068715322,0.528364428,0.472014395,0.000615589
462,2016,0.05210084,0.029131653,0.51834816,0.481854023,0.000960372
462,2017,0.048758638,0.045559253,0.514444956,0.485299381,0.000715856
462,2018,0.056,0.049163636,0.513979547,0.486074848,0.000761532
463,2014,0.01376,0.04384,0.511530612,0.487959184,0.001020408
463,2015,0.03121775,0.051341589,0.513833599,0.485370223,0.001791401
463,2016,0.017163364,0.023248557,0.517672414,0.479633621,0.003448276
463,2017,0.023255814,0.026206178,0.51469183,0.483516484,0.002030578
463,2018,0.022268615,0.035490605,0.509728657,0.487888815,0.002514891
464,2014,0.014124294,0.036723164,0.50258655,0.497015519,0.000795862
464,2015,0.039508341,0.043898156,0.512240356,0.488130564,0
464,2016,0.031333333,0.010666667,0.506213753,0.493371997,0.0008285
464,2017,0.030782762,0.01759015,0.510492923,0.489019034,0.000488043
464,2018,0.071047957,0.044404973,0.518230723,0.482367005,0
465,2014,0,0.089552239,0.517266897,0.482733103,0
465,2015,0.022222222,0.077777778,0.521555996,0.479187314,0
465,2016,0.040983607,0,0.542364151,0.457893381,0
465,2017,0.036036036,0.063063063,0.515698805,0.484301195,0.00055571
465,2018,0.048076923,0.048076923,0.53433252,0.466016033,0
466,2014,0.090909091,0,0.547344111,0.452655889,0
466,2015,0,0,0.531453362,0.468546638,0
466,2016,0.090909091,0.090909091,0.530991736,0.469008264,0
466,2017,0.111111111,0.055555556,0.544893763,0.455106237,0
466,2018,0.066666667,0.2,0.544456641,0.455543359,0
467,2014,0.011713031,0.086383602,0.538709677,0.460887097,0.000806452
467,2015,0.02247191,0.131086142,0.528362306,0.471180238,0.000457457
467,2016,0.012820513,0.033333333,0.562719812,0.435521688,0.002344666
467,2017,0.026954178,0.013477089,0.542701863,0.457298137,0.000776398
467,2018,0.078651685,0.04494382,0.542352941,0.46,0
